Key,Source,Context,Changes,English
Grill_Steak_Sandwich,items,Food,New,Grill Steak Sandwich
Biscuit_Name,items,Food,New,Biscuit
Health_Drink,items,Food,New,Health Drink
Hamburger_Name,items,Food,New,Hamburger
Tuna_Sandwich,items,Food,New,Tuna Sandwich
Soup_Mushroom,items,Food,New,Mushroom Soup
Soup_ChunkyBeef,items,Food,New,Chunky Beef Soup
mysteryMeat,items,Food,New,Mystery Meat
mysteryMeatCrafted,items,Food,New,Mystery Meat
mysteryMeatCrafted_Book,items,Food,New,Mystery Meat Recipe Book
qc_hotrod,items,Food,New,Hotrod Challenge
qc_Feedthemole,items,Food,New,Feed The Mole Challenge
qc_Sandwich,items,Food,New,Sandwich Challenge

VMARHAMBURGERDesc,items,Food,New,It Has a good smell and looks tasty.
VMARbaconEggSandwichDesc,items,Food,New,You made this good looking sandwich.
VMARFishPieDesc,items,Food,New,The Can of Tuna Maybe rotten but you did a good job making this food!
VMARHoneyHamDesc,items,Food,New,MmmHH Very good meal.
VMARGrillSteakDesc,items,Food,New,Better then Grilled meat.
VMARGrillSteakSandwichDesc,items,Food,New,You Made the Steak Even Better!
VMARCANDYBARDesc,items,Food,New,This Candy not give you any benefits like the others but you will not gonna starve to death!
VMARBiscuitDesc,items,Food,New,Handmade Biscuit Not the best But you cant die in starve.
VMARBiscuitjamDesc,items,Food,New,Handmade Biscuit with jam Not the best But you cant die in starve.
VMARRAMENNDesc,items,Food,New,You Can make this into a soup or you can eat it.
VMARRamenSoupDesc,items,Food,New,Nice you made a bowl of Ramen Soup Not the best if you ask me.
VMARHEalthDRINKDesc,items,Food,New,Drink This and Gain Your Health and Energy Back!
VMARTuna_SandwichDesc,items,Food,New,Not the best sandwich but eatable.
VMARSoupDesc,items,Food,New,A well made Soup!
VMARmysteryMeatDesc,items,Food,New,It doesn't smell terrible but you don't know how much faith you should put in Hotrod.

peculiarTasteNAME,buffs,Buff,New,Peculiar Taste
